,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,55.121362735932735,53.89058779788174,3.0,0.0,0.0,12298.96,39733.94,0.3440717134299704,0.32768211526994284
std,0.3887626633841778,0.3070529796660351,0.0,0.0,0.0,623.4269988195433,1238.0804993445065,0.015430074117747354,0.022985080853696934
min,54.47703081973617,53.39464350063413,3.0,0.0,0.0,11227.0,36972.0,0.3146955148897733,0.2841715236225022
25%,54.652823860315216,53.536640626986724,3.0,0.0,0.0,11637.25,39049.5,0.33093574761514,0.31169933498624325
50%,55.33146118117029,54.02591965540591,3.0,0.0,0.0,12533.5,39915.5,0.3453449422116227,0.3272837330208498
75%,55.41591495502697,54.07982091772233,3.0,0.0,0.0,12818.5,40282.0,0.35481153745528865,0.3444511674474454
max,55.61531524044757,54.57444435784509,3.0,0.0,0.0,13395.0,44817.0,0.3857213322347074,0.38621214118186686
