,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,53.49063090555115,52.43345176372487,3.0,6.6,1654.32,41232.64,30597.42,0.48325512782818686,0.44763262515193886
std,0.17637318967678006,0.08925248202427075,0.0,26.388773123030475,850.6152980673006,788.7229347211238,983.5886416171993,0.015490696089084674,0.013246682883076838
min,53.22163621933457,52.23131446296071,3.0,0.0,110.0,39317.0,28480.0,0.44219382973141586,0.4092902077566669
25%,53.357728262272865,52.381748773127995,3.0,0.0,915.5,40715.5,29787.5,0.47288953944152823,0.43954644454798775
50%,53.465523235147,52.43529594696605,3.0,0.0,1715.0,41350.0,30316.0,0.48717830814639496,0.4536138120669778
75%,53.578884146354305,52.479826872067136,3.0,0.0,2295.0,41740.75,31347.0,0.4953826567887325,0.4573274977648712
max,53.978656560109584,52.63619525978858,3.0,110.0,3560.0,42735.0,32836.0,0.5056430403302205,0.4602112117211903
