,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,28.950678411833255,29.08836012207566,3.0,1924.34,2658.64,10797.56,6623.62,0.128054830899599,0.09498947805685465
std,0.052494508850806476,0.06762741828329233,0.0,157.16475301999725,91.23254879254263,219.70668387369443,335.6830921678167,0.038470796036663465,0.023780741745796172
min,28.6837862569571,28.97375733580239,3.0,1555.0,2482.0,10295.0,5552.0,0.04435335480960356,0.03811898026627247
25%,28.93140725755121,29.02346390698595,3.0,1886.25,2602.25,10660.0,6451.75,0.10346584390101629,0.0826665912925113
50%,28.950802363963373,29.095512996922636,3.0,1894.5,2707.5,10764.0,6631.5,0.12770168188832764,0.09265212761829006
75%,28.976535409028944,29.135312705599585,3.0,2006.75,2718.0,10935.0,6827.75,0.15069791009971922,0.10551966548150934
max,29.049085522454156,29.24064569113394,3.0,2229.0,2845.0,11476.0,7568.0,0.23509704746036442,0.16852256033694957
