,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,27.0094976076108,27.200735957344,3.0,4297.08,4755.34,30497.32,9414.52,0.13417801638082544,0.17008931306129818
std,0.0653793087744521,0.04737882702240859,0.0,146.83001972988205,165.770755156952,628.4163912696156,300.767605724189,0.025195926998540258,0.02118509923853839
min,26.865063721705262,27.056424657402538,3.0,3956.0,4520.0,28884.0,8611.0,0.06426029039381143,0.10560859021561919
25%,26.965290889523928,27.171510207604182,3.0,4202.0,4653.0,30013.75,9248.25,0.11761109827482008,0.16314803328992278
50%,26.99467509918465,27.20010501701823,3.0,4310.5,4740.0,30602.0,9474.5,0.1334739364058204,0.17812193283414668
75%,27.04577289544967,27.232879379542574,3.0,4354.75,4831.5,31003.5,9601.25,0.14900129393941242,0.1852284980446754
max,27.16187319338801,27.30548009833494,3.0,4615.0,5179.0,31859.0,10012.0,0.18010229093542196,0.18725230415485328
