,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,53.94285545763958,52.92395650451278,3.0,9683.38,10244.1,12025.76,50342.94,0.3555024703831668,0.34978405583904393
std,0.3189355952220527,0.2785415058162724,0.0,2500.581009138737,2593.023979284198,587.6463451250041,3165.808787978329,0.019843181478443078,0.025609543819003284
min,53.667062387296326,52.69739397533067,3.0,0.0,0.0,10593.0,38802.0,0.3107818215408722,0.28568673220477836
25%,53.77895223632942,52.77543011088224,3.0,10373.25,10899.0,11675.75,50518.5,0.34337842210382474,0.3323112833997443
50%,53.84063585461603,52.826502674919894,3.0,10570.5,11180.5,11936.0,51390.5,0.35229188430735636,0.35508569314425886
75%,53.9084837893316,52.90010322746198,3.0,10692.25,11313.0,12333.5,51963.25,0.37301690307983326,0.3711091796852044
max,55.10397501290466,53.93794508098686,3.0,11071.0,11633.0,13996.0,52852.0,0.3925979842637052,0.39942178054561617
