,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,27.091792324090825,27.295601662362785,3.0,1500.02,2810.6,33727.86,8042.92,0.09932271824360836,0.12938844441235836
std,0.060843685026625016,0.04330358626671917,0.0,316.500216977712,168.35482451885812,510.68165769900537,272.8263138903951,0.022596873875807204,0.022500626003989905
min,26.994693805359866,27.192778088263957,3.0,773.0,2572.0,31822.0,7418.0,0.05363005408912436,0.04456435335047848
25%,27.04927038060773,27.26933249613663,3.0,1330.0,2693.0,33554.5,7882.5,0.08622949588965728,0.1282136392649696
50%,27.07162610480204,27.293672844245663,3.0,1440.0,2808.0,33792.5,8058.0,0.10147439493540156,0.13430425671171253
75%,27.119355626146543,27.32311180157631,3.0,1661.5,2921.75,34006.0,8220.0,0.1177901904837983,0.14190968608528692
max,27.2483776188742,27.393380806265547,3.0,2220.0,3158.0,34938.0,8734.0,0.14846766209006712,0.1555253374830443
