,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,27.698002343384633,27.822632820145383,3.0,6339.7,6716.36,10314.46,7322.8,0.04147315052094816,0.12249809188041835
std,0.03675753406338153,0.03802939408881476,0.0,180.88436378312107,178.12822256304415,256.21190289226115,293.4197383564079,0.02558544536846598,0.04408991810820085
min,27.613073564245,27.714527308468337,3.0,5971.0,6329.0,9841.0,6656.0,0.0006475480942187417,0.010670148433933324
25%,27.674352774970863,27.801503159706677,3.0,6204.0,6596.0,10102.25,7105.25,0.02170416119186841,0.09164584978709628
50%,27.70014491744615,27.825266727512137,3.0,6360.5,6718.0,10272.5,7298.5,0.03973551884686932,0.12106913083236126
75%,27.720871969425282,27.847414764627842,3.0,6478.75,6844.0,10517.5,7506.25,0.06037700611159608,0.14971897670836948
max,27.81010585436143,27.909783356003082,3.0,6738.0,7137.0,10910.0,7985.0,0.10112107462467557,0.24275715981143775
