,distance_amcl,distance_odom,mb_status,social_sum,local_social_sum,comfort_sum,vision_sum,smoothing_amcl,smoothing_odom
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,53.548987126820414,52.434229922144475,3.0,3227.0,5110.92,37965.98,32026.66,0.4812176970734108,0.44566847616766275
std,0.289549174752994,0.12595083109082025,0.0,815.0284832884238,666.5102182415571,1050.2303049661955,1076.6000073928883,0.018406672786866012,0.013681898416089659
min,53.17924492073213,52.21927128953482,3.0,883.0,2676.0,35737.0,27820.0,0.44749829732160895,0.40568744475696417
25%,53.41623604486737,52.347085956189154,3.0,2887.25,4842.25,37307.75,31475.25,0.46589587693560847,0.43592350868617735
50%,53.493123668954155,52.4317869192259,3.0,3280.0,5175.5,38017.0,32035.0,0.4869952868941223,0.4490160459004275
75%,53.587291697911716,52.50129413904588,3.0,3764.75,5514.75,38678.5,32560.0,0.496171843201817,0.45729161331533974
max,55.05098753769673,52.95887781651916,3.0,4475.0,6105.0,40587.0,34434.0,0.5192333804623014,0.46004093515625133
